rollno,semno,year,subno,crd,grade,date_of_entry,sub_type
1401CE07,6,2017,HS331,6,BB,5/3/2017 10:50:26,HS Elective
1401CE08,6,2017,CE302,8,CD,5/1/2017 23:44:35,CORE
1401CE08,6,2017,CE304,6,DD,5/4/2017 11:32:39,CORE
1401CE08,6,2017,CE306,6,CD,5/2/2017 10:54:54,CORE
1401CE08,6,2017,CE308,6,DD,5/1/2017 20:19:50,CORE
1401CE08,6,2017,CE312,3,BC,5/4/2017 18:05:24,CORE
1401CE08,6,2017,CE316,6,DD,5/1/2017 18:05:17,Department Elective
1401CE08,6,2017,HS311,6,DD,5/4/2017 12:14:35,HS Elective
1401CE10,6,2017,CE302,8,CC,5/1/2017 23:44:35,CORE
1401CE10,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE10,6,2017,CE306,6,CC,5/2/2017 10:54:54,CORE
1401CE10,6,2017,CE308,6,CC,5/1/2017 20:19:50,CORE
1401CE10,6,2017,CE310,3,BC,5/3/2017 18:15:04,CORE
1401CE10,6,2017,CE312,3,BC,5/4/2017 18:05:24,CORE
1401CE10,6,2017,CE316,6,CC,5/1/2017 18:05:17,Department Elective
1401CE10,6,2017,HS331,6,BB,5/3/2017 10:50:26,HS Elective
1401CE11,6,2017,CE302,8,BB,5/1/2017 23:44:35,CORE
1401CE11,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE11,6,2017,CE306,6,AA,5/2/2017 10:54:54,CORE
1401CE11,6,2017,CE308,6,BC,5/1/2017 20:19:50,CORE
1401CE11,6,2017,CE310,3,BC,5/3/2017 18:15:04,CORE
1401CE11,6,2017,CE312,3,BB,5/4/2017 18:05:24,CORE
1401CE11,6,2017,CE316,6,BB,5/1/2017 18:05:17,Department Elective
1401CE11,6,2017,HS311,6,BB,5/4/2017 12:14:35,HS Elective
1401CE13,6,2017,CE302,8,CC,5/1/2017 23:44:35,CORE
1401CE13,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE13,6,2017,CE306,6,AB,5/2/2017 10:54:54,CORE
1401CE13,6,2017,CE308,6,CC,5/1/2017 20:19:50,CORE
1401CE13,6,2017,CE310,3,CD,5/3/2017 18:15:04,CORE
1401CE13,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE13,6,2017,CE316,6,CC,5/1/2017 18:05:17,Department Elective
1401CE13,6,2017,HS331,6,BB,5/3/2017 10:50:27,HS Elective
1401CE14,6,2017,CE302,8,BB,5/1/2017 23:44:35,CORE
1401CE14,6,2017,CE304,6,BB,5/4/2017 11:32:39,CORE
1401CE14,6,2017,CE306,6,BC,5/2/2017 10:54:54,CORE
1401CE14,6,2017,CE308,6,BC,5/1/2017 20:19:50,CORE
1401CE14,6,2017,CE310,3,AA,5/3/2017 18:15:04,CORE
1401CE14,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE14,6,2017,CE316,6,AB,5/1/2017 18:05:17,Department Elective
1401CE14,6,2017,HS331,6,AB,5/3/2017 10:50:27,HS Elective
1401CE15,6,2017,CE302,8,BB,5/1/2017 23:44:35,CORE
1401CE15,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE15,6,2017,CE306,6,AB,5/2/2017 10:54:55,CORE
1401CE15,6,2017,CE308,6,BB,5/1/2017 20:19:50,CORE
1401CE15,6,2017,CE310,3,AA,5/3/2017 18:15:04,CORE
1401CE15,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE15,6,2017,CE316,6,AB,5/1/2017 18:05:17,Department Elective
1401CE15,6,2017,HS311,6,AB,5/4/2017 12:14:35,HS Elective
1401CE17,6,2017,CE302,8,AB,5/1/2017 23:44:35,CORE
1401CE17,6,2017,CE304,6,AB,5/4/2017 11:32:39,CORE
1401CE17,6,2017,CE306,6,AB,5/2/2017 10:54:55,CORE
1401CE17,6,2017,CE308,6,BB,5/1/2017 20:19:51,CORE
1401CE17,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE17,6,2017,CE316,6,AA,5/1/2017 18:05:17,Department Elective
1401CE17,6,2017,HS331,6,BB,5/3/2017 10:50:27,HS Elective
1401CE18,6,2017,CE302,8,BC,5/1/2017 23:44:36,CORE
1401CE18,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE18,6,2017,CE306,6,CC,5/2/2017 10:54:55,CORE
1401CE18,6,2017,CE308,6,CC,5/1/2017 20:19:51,CORE
1401CE18,6,2017,CE310,3,BC,5/3/2017 18:15:04,CORE
1401CE18,6,2017,CE312,3,BB,5/4/2017 18:05:24,CORE
1401CE18,6,2017,CE316,6,CC,5/1/2017 18:05:17,Department Elective
1401CE18,6,2017,HS312,6,CC,5/3/2017 16:39:10,HS Elective
1401CE19,6,2017,CE302,8,CC,5/1/2017 23:44:36,CORE
1401CE19,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE19,6,2017,CE306,6,CD,5/2/2017 10:54:55,CORE
1401CE19,6,2017,CE308,6,CD,5/1/2017 20:19:51,CORE
1401CE19,6,2017,CE312,3,BC,5/4/2017 18:05:24,CORE
1401CE19,6,2017,CE316,6,CC,5/1/2017 18:05:17,Department Elective
1401CE19,6,2017,HS312,6,CC,5/3/2017 16:39:10,HS Elective
1401CE20,6,2017,CE302,8,AB,5/1/2017 23:44:36,CORE
1401CE20,6,2017,CE304,6,AA,5/4/2017 11:32:39,CORE
1401CE20,6,2017,CE306,6,AA,5/2/2017 10:54:55,CORE
1401CE20,6,2017,CE308,6,AB,5/1/2017 20:19:51,CORE
1401CE20,6,2017,CE310,3,AA,5/3/2017 18:15:04,CORE
1401CE20,6,2017,CE312,3,AA,5/4/2017 18:05:24,CORE
1401CE20,6,2017,CE316,6,AB,5/1/2017 18:05:18,Department Elective
1401CE20,6,2017,HS312,6,AA,5/3/2017 16:39:10,HS Elective
1401CE21,6,2017,CE302,8,CD,5/1/2017 23:44:36,CORE
1401CE21,6,2017,CE304,6,CC,5/4/2017 11:32:39,CORE
1401CE21,6,2017,CE306,6,BB,5/2/2017 10:54:55,CORE
1401CE21,6,2017,CE308,6,CC,5/1/2017 20:19:51,CORE
1401CE21,6,2017,CE310,3,BB,5/3/2017 18:15:04,CORE
1401CE21,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE21,6,2017,CE316,6,CC,5/1/2017 18:05:18,Department Elective
1401CE21,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CE23,6,2017,CE302,8,BB,5/1/2017 23:44:36,CORE
1401CE23,6,2017,CE304,6,BB,5/4/2017 11:32:39,CORE
1401CE23,6,2017,CE306,6,BC,5/2/2017 10:54:55,CORE
1401CE23,6,2017,CE308,6,CC,5/1/2017 20:19:51,CORE
1401CE23,6,2017,CE310,3,AA,5/3/2017 18:15:04,CORE
1401CE23,6,2017,CE312,3,AB,5/4/2017 18:05:24,CORE
1401CE23,6,2017,CE316,6,AB,5/1/2017 18:05:18,Department Elective
1401CE23,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH01,6,2017,CB302,6,AA,5/5/2017 11:25:37,CORE
1401CH01,6,2017,CB315,3,AA,4/26/2017 09:58:11:873,CORE
1401CH01,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH01,6,2017,CH304,6,AA,5/3/2017 14:32:04,CORE
1401CH01,6,2017,CH306,5,AB,5/2/2017 15:48:13,CORE
1401CH01,6,2017,CH308,6,AB,4/30/2017 19:33:25,CORE
1401CH01,6,2017,CH320,3,AA,5/4/2017 08:44:24,CORE
1401CH01,6,2017,HS331,6,AB,5/3/2017 10:50:27,HS Elective
1401CH02,6,2017,CB302,6,BB,5/5/2017 11:25:37,CORE
1401CH02,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH02,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH02,6,2017,CH304,6,BB,5/3/2017 14:32:04,CORE
1401CH02,6,2017,CH306,5,CC,5/2/2017 15:48:13,CORE
1401CH02,6,2017,CH308,6,BC,4/30/2017 19:33:25,CORE
1401CH02,6,2017,CH320,3,AA,5/4/2017 08:44:24,CORE
1401CH02,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH03,6,2017,CB302,6,AB,5/5/2017 11:25:37,CORE
1401CH03,6,2017,CB315,3,AA,4/26/2017 09:58:11:873,CORE
1401CH03,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH03,6,2017,CH304,6,BB,5/3/2017 14:32:04,CORE
1401CH03,6,2017,CH306,5,BC,5/2/2017 15:48:13,CORE
1401CH03,6,2017,CH308,6,BB,4/30/2017 19:33:25,CORE
1401CH03,6,2017,CH320,3,BC,5/4/2017 08:44:24,CORE
1401CH03,6,2017,HS312,6,BC,5/3/2017 16:39:10,HS Elective
1401CH04,6,2017,CB302,6,BB,5/5/2017 11:25:37,CORE
1401CH04,6,2017,CB315,3,AA,4/26/2017 09:58:11:873,CORE
1401CH04,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH04,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH04,6,2017,CH306,5,BC,5/2/2017 15:48:13,CORE
1401CH04,6,2017,CH308,6,AB,4/30/2017 19:33:25,CORE
1401CH04,6,2017,CH320,3,BB,5/4/2017 08:44:24,CORE
1401CH04,6,2017,HS311,6,AA,5/4/2017 12:14:35,HS Elective
1401CH05,6,2017,CB302,6,AA,5/5/2017 11:25:38,CORE
1401CH05,6,2017,CB315,3,AA,4/26/2017 09:58:11:873,CORE
1401CH05,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH05,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH05,6,2017,CH306,5,BB,5/2/2017 15:48:13,CORE
1401CH05,6,2017,CH308,6,AB,4/30/2017 19:33:25,CORE
1401CH05,6,2017,CH320,3,AA,5/4/2017 08:44:24,CORE
1401CH05,6,2017,HS312,6,AB,5/3/2017 16:39:10,HS Elective
1401CH06,6,2017,CB302,6,CC,5/5/2017 11:25:38,CORE
1401CH06,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH06,6,2017,CH302,6,BB,5/4/2017 17:03:19,CORE
1401CH06,6,2017,CH304,6,BC,5/3/2017 14:32:05,CORE
1401CH06,6,2017,CH306,5,BC,5/2/2017 15:48:13,CORE
1401CH06,6,2017,CH308,6,BC,4/30/2017 19:33:25,CORE
1401CH06,6,2017,CH320,3,BC,5/4/2017 08:44:24,CORE
1401CH06,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH07,6,2017,CB302,6,BB,5/5/2017 11:25:38,CORE
1401CH07,6,2017,CB315,3,BB,4/26/2017 09:58:11:873,CORE
1401CH07,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH07,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH07,6,2017,CH306,5,BC,5/2/2017 15:48:13,CORE
1401CH07,6,2017,CH308,6,BB,4/30/2017 19:33:25,CORE
1401CH07,6,2017,CH320,3,BB,5/4/2017 08:44:24,CORE
1401CH07,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH08,6,2017,CB302,6,AA,5/5/2017 11:25:38,CORE
1401CH08,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH08,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH08,6,2017,CH304,6,AA,5/3/2017 14:32:05,CORE
1401CH08,6,2017,CH306,5,BB,5/2/2017 15:48:13,CORE
1401CH08,6,2017,CH308,6,AB,4/30/2017 19:33:25,CORE
1401CH08,6,2017,CH320,3,AB,5/4/2017 08:44:24,CORE
1401CH08,6,2017,HS331,6,BB,5/3/2017 10:50:27,HS Elective
1401CH10,6,2017,CB302,6,AB,5/5/2017 11:25:38,CORE
1401CH10,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH10,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH10,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH10,6,2017,CH306,5,BC,5/2/2017 15:48:13,CORE
1401CH10,6,2017,CH308,6,BC,4/30/2017 19:33:26,CORE
1401CH10,6,2017,CH320,3,BC,5/4/2017 08:44:24,CORE
1401CH10,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH11,6,2017,CB302,6,CC,5/5/2017 11:25:38,CORE
1401CH11,6,2017,CB315,3,BB,4/26/2017 09:58:11:873,CORE
1401CH11,6,2017,CH302,6,CC,5/4/2017 17:03:19,CORE
1401CH11,6,2017,CH304,6,CC,5/3/2017 14:32:05,CORE
1401CH11,6,2017,CH306,5,CD,5/2/2017 15:48:13,CORE
1401CH11,6,2017,CH308,6,CD,4/30/2017 19:33:26,CORE
1401CH11,6,2017,CH320,3,CC,5/4/2017 08:44:24,CORE
1401CH11,6,2017,HS312,6,CC,5/3/2017 16:39:10,HS Elective
1401CH12,6,2017,CB302,6,BC,5/5/2017 11:25:38,CORE
1401CH12,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH12,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH12,6,2017,CH304,6,BB,5/3/2017 14:32:05,CORE
1401CH12,6,2017,CH306,5,CD,5/2/2017 15:48:13,CORE
1401CH12,6,2017,CH308,6,BC,4/30/2017 19:33:26,CORE
1401CH12,6,2017,CH320,3,AB,5/4/2017 08:44:24,CORE
1401CH12,6,2017,HS312,6,AB,5/3/2017 16:39:10,HS Elective
1401CH13,6,2017,CB302,6,BB,5/5/2017 11:25:38,CORE
1401CH13,6,2017,CB315,3,BB,4/26/2017 09:58:11:873,CORE
1401CH13,6,2017,CH302,6,BC,5/4/2017 17:03:19,CORE
1401CH13,6,2017,CH304,6,BC,5/3/2017 14:32:05,CORE
1401CH13,6,2017,CH306,5,DD,5/2/2017 15:48:13,CORE
1401CH13,6,2017,CH308,6,BC,4/30/2017 19:33:26,CORE
1401CH13,6,2017,CH320,3,CC,5/4/2017 08:44:24,CORE
1401CH13,6,2017,HS331,6,CD,5/3/2017 10:50:27,HS Elective
1401CH14,6,2017,CB302,6,BC,5/5/2017 11:25:38,CORE
1401CH14,6,2017,CB315,3,BB,4/26/2017 09:58:11:873,CORE
1401CH14,6,2017,CH302,6,CC,5/4/2017 17:03:19,CORE
1401CH14,6,2017,CH304,6,DD,5/3/2017 14:32:05,CORE
1401CH14,6,2017,CH306,5,CD,5/2/2017 15:48:13,CORE
1401CH14,6,2017,CH308,6,BC,4/30/2017 19:33:26,CORE
1401CH14,6,2017,HS312,6,CC,5/3/2017 16:39:10,HS Elective
1401CH15,6,2017,CB302,6,AA,5/5/2017 11:25:38,CORE
1401CH15,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH15,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH15,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH15,6,2017,CH306,5,BB,5/2/2017 15:48:13,CORE
1401CH15,6,2017,CH308,6,AA,4/30/2017 19:33:26,CORE
1401CH15,6,2017,CH320,3,BB,5/4/2017 08:44:24,CORE
1401CH15,6,2017,HS312,6,BB,5/3/2017 16:39:10,HS Elective
1401CH16,6,2017,CB302,6,AA,5/5/2017 11:25:38,CORE
1401CH16,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH16,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH16,6,2017,CH304,6,AA,5/3/2017 14:32:05,CORE
1401CH16,6,2017,CH306,5,AB,5/2/2017 15:48:13,CORE
1401CH16,6,2017,CH308,6,AA,4/30/2017 19:33:26,CORE
1401CH16,6,2017,CH320,3,AA,5/4/2017 08:44:24,CORE
1401CH16,6,2017,HS311,6,AA,5/4/2017 12:14:35,HS Elective
1401CH17,6,2017,CB302,6,CD,5/5/2017 11:25:38,CORE
1401CH17,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH17,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH17,6,2017,CH304,6,BB,5/3/2017 14:32:05,CORE
1401CH17,6,2017,CH306,5,CC,5/2/2017 15:48:13,CORE
1401CH17,6,2017,CH308,6,CC,4/30/2017 19:33:26,CORE
1401CH17,6,2017,CH320,3,BC,5/4/2017 08:44:24,CORE
1401CH17,6,2017,HS311,6,BC,5/4/2017 12:14:35,HS Elective
1401CH20,6,2017,CB302,6,AA,5/5/2017 11:25:38,CORE
1401CH20,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH20,6,2017,CH302,6,AA,5/4/2017 17:03:19,CORE
1401CH20,6,2017,CH304,6,AA,5/3/2017 14:32:05,CORE
1401CH20,6,2017,CH306,5,BB,5/2/2017 15:48:13,CORE
1401CH20,6,2017,CH320,3,AA,5/4/2017 08:44:24,CORE
1401CH20,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CH22,6,2017,CB302,6,BB,5/5/2017 11:25:38,CORE
1401CH22,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH22,6,2017,CH302,6,BB,5/4/2017 17:03:19,CORE
1401CH22,6,2017,CH304,6,BB,5/3/2017 14:32:05,CORE
1401CH22,6,2017,CH306,5,CC,5/2/2017 15:48:13,CORE
1401CH22,6,2017,CH308,6,BC,4/30/2017 19:33:26,CORE
1401CH22,6,2017,CH320,3,BB,5/4/2017 08:44:24,CORE
1401CH22,6,2017,HS331,6,DD,5/3/2017 10:50:27,HS Elective
1401CH24,6,2017,CB302,6,BB,5/5/2017 11:25:38,CORE
1401CH24,6,2017,CB315,3,AB,4/26/2017 09:58:11:873,CORE
1401CH24,6,2017,CH302,6,AB,5/4/2017 17:03:19,CORE
1401CH24,6,2017,CH304,6,AB,5/3/2017 14:32:05,CORE
1401CH24,6,2017,CH306,5,BC,5/2/2017 15:48:14,CORE
1401CH24,6,2017,CH308,6,AB,4/30/2017 19:33:26,CORE
1401CH24,6,2017,CH320,3,AB,5/4/2017 08:44:24,CORE
1401CH24,6,2017,HS331,6,BB,5/3/2017 10:50:27,HS Elective
1401CH25,6,2017,CB302,6,CD,5/5/2017 11:25:38,CORE
1401CH25,6,2017,CB315,3,BC,4/26/2017 09:58:11:873,CORE
1401CH25,6,2017,CH302,6,BC,5/4/2017 17:03:19,CORE
1401CH25,6,2017,CH304,6,CC,5/3/2017 14:32:05,CORE
1401CH25,6,2017,CH306,5,CD,5/2/2017 15:48:14,CORE
1401CH25,6,2017,CH308,6,CD,4/30/2017 19:33:26,CORE
1401CH25,6,2017,CH320,3,BB,5/4/2017 08:44:24,CORE
1401CH25,6,2017,HS331,6,CC,5/3/2017 10:50:27,HS Elective
1401CS01,6,2017,CS302,6,BC,5/11/2017 20:17:01,CORE
1401CS01,6,2017,CS346,6,CC,5/2/2017 14:14:19,CORE
1401CS01,6,2017,CS347,3,AB,5/2/2017 14:29:48,CORE
1401CS01,6,2017,CS348,8,BC,5/4/2017 20:08:41,CORE
1401CS01,6,2017,CS362,8,BB,5/11/2017 19:34:06,CORE
1401CS01,6,2017,CS399,3,AA,5/1/2017 11:56:21,CORE
1401CS01,6,2017,HS311,6,AB,5/4/2017 12:14:35,HS Elective
1401CS02,6,2017,CS302,6,BB,5/11/2017 20:17:01,CORE
1401CS02,6,2017,CS346,6,BB,5/2/2017 14:14:19,CORE
1401CS02,6,2017,CS347,3,BB,5/2/2017 14:29:48,CORE
1401CS02,6,2017,CS348,8,AB,5/4/2017 20:08:41,CORE
1401CS02,6,2017,CS362,8,AB,5/11/2017 19:34:06,CORE
1401CS02,6,2017,HS331,6,AA,5/3/2017 10:50:27,HS Elective
1401CS04,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS04,6,2017,CS346,6,CC,5/2/2017 14:14:19,CORE
1401CS04,6,2017,CS347,3,BC,5/2/2017 14:29:48,CORE
1401CS04,6,2017,CS348,8,CC,5/4/2017 20:08:41,CORE
1401CS04,6,2017,CS362,8,CC,5/11/2017 19:34:06,CORE
1401CS04,6,2017,CS399,3,BC,5/1/2017 11:56:21,CORE
1401CS04,6,2017,HS311,6,CC,5/4/2017 12:14:35,HS Elective
1401CS05,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS05,6,2017,CS346,6,BC,5/2/2017 14:14:19,CORE
1401CS05,6,2017,CS347,3,CC,5/2/2017 14:29:48,CORE
1401CS05,6,2017,CS348,8,CC,5/4/2017 20:08:41,CORE
1401CS05,6,2017,CS362,8,CD,5/11/2017 19:34:06,CORE
1401CS05,6,2017,CS399,3,BB,5/1/2017 11:56:21,CORE
1401CS05,6,2017,HS311,6,BC,5/4/2017 12:14:35,HS Elective
1401CS06,6,2017,CS302,6,AB,5/11/2017 20:17:02,CORE
1401CS06,6,2017,CS346,6,BC,5/2/2017 14:14:19,CORE
1401CS06,6,2017,CS347,3,BB,5/2/2017 14:29:48,CORE
1401CS06,6,2017,CS348,8,BB,5/4/2017 20:08:41,CORE
1401CS06,6,2017,CS362,8,AB,5/11/2017 19:34:06,CORE
1401CS06,6,2017,CS399,3,AA,5/1/2017 11:56:21,CORE
1401CS06,6,2017,HS312,6,BB,5/3/2017 16:39:10,HS Elective
1401CS07,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS07,6,2017,CS346,6,CD,5/2/2017 14:14:19,CORE
1401CS07,6,2017,CS347,3,BC,5/2/2017 14:29:48,CORE
1401CS07,6,2017,CS348,8,CC,5/4/2017 20:08:41,CORE
1401CS07,6,2017,CS362,8,BC,5/11/2017 19:34:06,CORE
1401CS07,6,2017,CS399,3,BC,5/1/2017 11:56:21,CORE
1401CS07,6,2017,HS311,6,CC,5/4/2017 12:14:35,HS Elective
1401CS08,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS08,6,2017,CS346,6,BC,5/2/2017 14:14:19,CORE
1401CS08,6,2017,CS347,3,BC,5/2/2017 14:29:48,CORE
1401CS08,6,2017,CS348,8,CC,5/4/2017 20:08:41,CORE
1401CS08,6,2017,CS362,8,BC,5/11/2017 19:34:06,CORE
1401CS08,6,2017,CS399,3,AB,5/1/2017 11:56:21,CORE
1401CS08,6,2017,HS331,6,BB,5/3/2017 10:50:27,HS Elective
1401CS09,6,2017,CS302,6,AB,5/11/2017 20:17:02,CORE
1401CS09,6,2017,CS346,6,BB,5/2/2017 14:14:19,CORE
1401CS09,6,2017,CS347,3,AB,5/2/2017 14:29:48,CORE
1401CS09,6,2017,CS348,8,BC,5/4/2017 20:08:41,CORE
1401CS09,6,2017,CS362,8,BB,5/11/2017 19:34:06,CORE
1401CS09,6,2017,HS331,6,BC,5/3/2017 10:50:27,HS Elective
1401CS10,6,2017,CS302,6,AB,5/11/2017 20:17:02,CORE
1401CS10,6,2017,CS346,6,BB,5/2/2017 14:14:19,CORE
1401CS10,6,2017,CS347,3,AB,5/2/2017 14:29:48,CORE
1401CS10,6,2017,CS348,8,AB,5/4/2017 20:08:41,CORE
1401CS10,6,2017,CS362,8,AB,5/11/2017 19:34:06,CORE
1401CS10,6,2017,CS399,3,BB,5/1/2017 11:56:21,CORE
1401CS10,6,2017,HS312,6,BB,5/3/2017 16:39:10,HS Elective
1401CS11,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS11,6,2017,CS346,6,CC,5/2/2017 14:14:19,CORE
1401CS11,6,2017,CS347,3,CC,5/2/2017 14:29:48,CORE
1401CS11,6,2017,CS348,8,CD,5/4/2017 20:08:41,CORE
1401CS11,6,2017,CS362,8,CD,5/11/2017 19:34:06,CORE
1401CS11,6,2017,CS399,3,BC,5/1/2017 11:56:21,CORE
1401CS11,6,2017,HS312,6,CD,5/3/2017 16:39:10,HS Elective
1401CS12,6,2017,CS302,6,BB,5/11/2017 20:17:02,CORE
1401CS12,6,2017,CS346,6,BB,5/2/2017 14:14:19,CORE
1401CS12,6,2017,CS347,3,AB,5/2/2017 14:29:48,CORE
1401CS12,6,2017,CS348,8,CC,5/4/2017 20:08:41,CORE
1401CS12,6,2017,CS362,8,BB,5/11/2017 19:34:06,CORE
1401CS12,6,2017,CS399,3,BB,5/1/2017 11:56:21,CORE
